Using ianpan_mammoscreen backbone.
Using 'conditional' feature fusion method.
Layer Name                                      | Parameters | Shape             | Trainable
------------------------------------------------+---------+-------------------+-----------
le_backbone.0.conv_stem.weight                  | ,,,,216 | [24, 1, 3, 3]     | Yes
le_backbone.0.bn1.weight                        | ,,,,,24 | [24]              | Yes
le_backbone.0.bn1.bias                          | ,,,,,24 | [24]              | Yes
le_backbone.0.blocks.0.0.conv.weight            | ,,,5184 | [24, 24, 3, 3]    | Yes
le_backbone.0.blocks.0.0.bn1.weight             | ,,,,,24 | [24]              | Yes
le_backbone.0.blocks.0.0.bn1.bias               | ,,,,,24 | [24]              | Yes
le_backbone.0.blocks.0.1.conv.weight            | ,,,5184 | [24, 24, 3, 3]    | Yes
le_backbone.0.blocks.0.1.bn1.weight             | ,,,,,24 | [24]              | Yes
le_backbone.0.blocks.0.1.bn1.bias               | ,,,,,24 | [24]              | Yes
le_backbone.0.blocks.1.0.conv_exp.weight        | ,,20736 | [96, 24, 3, 3]    | Yes
le_backbone.0.blocks.1.0.bn1.weight             | ,,,,,96 | [96]              | Yes
le_backbone.0.blocks.1.0.bn1.bias               | ,,,,,96 | [96]              | Yes
le_backbone.0.blocks.1.0.conv_pwl.weight        | ,,,4608 | [48, 96, 1, 1]    | Yes
le_backbone.0.blocks.1.0.bn2.weight             | ,,,,,48 | [48]              | Yes
le_backbone.0.blocks.1.0.bn2.bias               | ,,,,,48 | [48]              | Yes
le_backbone.0.blocks.1.1.conv_exp.weight        | ,,82944 | [192, 48, 3, 3]   | Yes
le_backbone.0.blocks.1.1.bn1.weight             | ,,,,192 | [192]             | Yes
le_backbone.0.blocks.1.1.bn1.bias               | ,,,,192 | [192]             | Yes
le_backbone.0.blocks.1.1.conv_pwl.weight        | ,,,9216 | [48, 192, 1, 1]   | Yes
le_backbone.0.blocks.1.1.bn2.weight             | ,,,,,48 | [48]              | Yes
le_backbone.0.blocks.1.1.bn2.bias               | ,,,,,48 | [48]              | Yes
le_backbone.0.blocks.1.2.conv_exp.weight        | ,,82944 | [192, 48, 3, 3]   | Yes
