epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7275,2.11086,6.03747,2.30793,0.07905,0.06383,0.02107,0.00533,2.41502,21.2425,2.84917,0.000665333,0.000665333,0.000665333
2,187.104,2.29659,3.68534,2.56311,0.05973,0.02128,0.00754,0.00231,3.01418,6.33899,3.50974,0.00131881,0.00131881,0.00131881
3,274.145,2.21472,3.1845,2.53889,0.00361,0.51064,0.07444,0.02539,2.43792,4.20549,2.90819,0.00195909,0.00195909,0.00195909
4,361.127,2.2049,3.17535,2.52623,0.00278,0.42553,0.00205,0.00094,2.53604,29.5926,2.95152,0.0019406,0.0019406,0.0019406
5,446.906,2.14969,3.0596,2.48068,0.00275,0.44681,0.00289,0.0011,2.66923,13.9949,3.10393,0.0019208,0.0019208,0.0019208
6,535.48,2.09844,2.90665,2.44986,0.26495,0.12288,0.15284,0.06363,2.20243,2.91245,2.73463,0.001901,0.001901,0.001901
7,622.582,2.04608,2.84727,2.46606,0.42551,0.23404,0.28841,0.11377,2.05165,2.73976,2.66363,0.0018812,0.0018812,0.0018812
8,709.317,2.07123,2.84308,2.44716,0.04674,0.12766,0.04717,0.02578,2.74623,4.28288,3.39141,0.0018614,0.0018614,0.0018614
9,796.578,2.04721,2.77545,2.41919,0.33486,0.25532,0.20954,0.09623,2.03943,2.96888,2.67927,0.0018416,0.0018416,0.0018416
10,883.057,2.03858,2.69015,2.38771,0.34985,0.40426,0.31531,0.12892,2.09897,2.72164,2.60707,0.0018218,0.0018218,0.0018218
11,970.879,2.00282,2.8333,2.38234,0.67513,0.29787,0.32731,0.15109,2.09066,2.67018,2.64949,0.001802,0.001802,0.001802
12,1059.19,1.96627,2.74597,2.34905,0.94234,0.14894,0.18721,0.07056,2.3676,3.95336,2.96581,0.0017822,0.0017822,0.0017822
13,1144.23,1.91332,2.73478,2.27174,0.5963,0.02128,0.05953,0.02967,2.84623,8.17888,3.63237,0.0017624,0.0017624,0.0017624
14,1231.08,1.91713,2.69686,2.27416,0.56532,0.06383,0.06909,0.02797,2.55682,4.74418,3.19863,0.0017426,0.0017426,0.0017426
15,1316.29,1.8866,2.62106,2.24669,0.89546,0.1828,0.23392,0.08995,2.25149,3.72337,2.83331,0.0017228,0.0017228,0.0017228
16,1402.41,1.98657,2.68025,2.32476,0.53778,0.12766,0.11472,0.04119,2.45446,4.02116,3.08272,0.001703,0.001703,0.001703
17,1488.44,1.92999,2.63178,2.29205,0.55556,0.31915,0.31814,0.13901,2.01786,2.73292,2.59608,0.0016832,0.0016832,0.0016832
18,1571.32,1.893,2.72809,2.35673,0.253,0.2766,0.12018,0.05021,2.10388,3.16719,2.70869,0.0016634,0.0016634,0.0016634
19,1657.3,1.9088,2.6761,2.31495,0.64554,0.25532,0.32193,0.12002,2.01405,3.11872,2.54303,0.0016436,0.0016436,0.0016436
20,1742.79,1.91594,2.63735,2.28254,0.53487,0.12766,0.11172,0.04751,2.53352,3.8506,3.05891,0.0016238,0.0016238,0.0016238
21,1828.73,1.89856,2.63911,2.24198,0.53795,0.2766,0.28688,0.13303,2.11449,3.10932,2.69552,0.001604,0.001604,0.001604
22,1915.08,1.82855,2.53385,2.203,0.64744,0.06383,0.06771,0.03586,2.78351,4.11914,3.38626,0.0015842,0.0015842,0.0015842
23,2000.67,1.86244,2.56853,2.20881,0.08427,0.06383,0.04254,0.01998,2.50018,3.98816,3.00665,0.0015644,0.0015644,0.0015644
24,2085.99,1.8841,2.48002,2.22849,0.34376,0.34043,0.23973,0.10033,2.12273,2.84657,2.66794,0.0015446,0.0015446,0.0015446
25,2172.46,1.87243,2.52665,2.25005,0.03501,0.12766,0.01346,0.00565,2.38463,3.92247,2.87709,0.0015248,0.0015248,0.0015248
26,2258.65,1.88096,2.56559,2.20895,0.31452,0.14894,0.132,0.06744,2.23175,3.42031,2.7544,0.001505,0.001505,0.001505
27,2344.29,1.81629,2.48389,2.13648,0.0238,0.14894,0.00915,0.00377,2.32047,6.69895,2.9012,0.0014852,0.0014852,0.0014852
28,2429.46,1.83104,2.55675,2.17322,0.29131,0.14894,0.13802,0.06624,2.2767,3.94988,2.72502,0.0014654,0.0014654,0.0014654
29,2513.18,1.80646,2.506,2.17754,0.69263,0.08511,0.10707,0.05405,2.30007,3.91496,2.83124,0.0014456,0.0014456,0.0014456
30,2596.02,1.82504,2.49247,2.20853,0.56562,0.22192,0.2737,0.11865,2.31113,3.26465,2.85576,0.0014258,0.0014258,0.0014258
31,2680.63,1.79279,2.45369,2.13831,0.57378,0.34381,0.36386,0.17261,2.06411,2.69809,2.54731,0.001406,0.001406,0.001406
32,2763.31,1.82911,2.42743,2.16506,0.39739,0.19149,0.19352,0.09023,2.29364,3.50223,2.79937,0.0013862,0.0013862,0.0013862
33,2849.25,1.83064,2.43067,2.17084,0.33061,0.02128,0.01432,0.00831,2.81982,14.0048,3.57051,0.0013664,0.0013664,0.0013664
34,2935.4,1.85056,2.52014,2.20816,0.50251,0.40426,0.37903,0.17529,2.18579,2.522,2.60355,0.0013466,0.0013466,0.0013466
35,3021.39,1.84653,2.43722,2.22217,0.65025,0.34043,0.39703,0.18172,2.10546,2.54193,2.56426,0.0013268,0.0013268,0.0013268
36,3108.35,1.76492,2.42186,2.12201,0.14163,0.04255,0.0147,0.00808,2.89617,6.33459,3.76385,0.001307,0.001307,0.001307
37,3193.2,1.76033,2.44038,2.11498,0.43523,0.31915,0.30371,0.15076,2.06405,2.64842,2.50685,0.0012872,0.0012872,0.0012872
38,3284.19,1.77886,2.40338,2.12156,0.43234,0.31915,0.2926,0.13209,2.15387,2.94167,2.71027,0.0012674,0.0012674,0.0012674
39,3372.93,1.81786,2.45871,2.19846,0.46795,0.1312,0.1609,0.07355,2.55195,3.68223,2.88471,0.0012476,0.0012476,0.0012476
40,3461.6,1.77281,2.42503,2.17028,0.38648,0.29787,0.26484,0.11805,1.9958,2.76768,2.52199,0.0012278,0.0012278,0.0012278
41,3549.85,1.78613,2.43997,2.17193,0.32206,0.08511,0.07,0.02906,2.60859,4.01323,3.09229,0.001208,0.001208,0.001208
42,3642.97,1.80562,2.4047,2.14265,0.45517,0.40426,0.34639,0.16049,2.05012,2.61771,2.53612,0.0011882,0.0011882,0.0011882
43,3734.67,1.72124,2.41438,2.05855,0.6495,0.31555,0.32636,0.15614,2.19208,3.17616,2.7148,0.0011684,0.0011684,0.0011684
44,3829.11,1.75811,2.41359,2.1026,0.69927,0.40426,0.42133,0.19878,1.99815,2.56968,2.4757,0.0011486,0.0011486,0.0011486
45,3923.81,1.73331,2.38477,2.10013,0.45294,0.3617,0.27591,0.13555,2.18699,3.10901,2.64952,0.0011288,0.0011288,0.0011288
46,4014.02,1.81434,2.46701,2.15584,0.46427,0.38298,0.36284,0.17884,2.00664,2.56688,2.46203,0.001109,0.001109,0.001109
47,4107,1.76138,2.33715,2.09089,0.80479,0.06383,0.07544,0.03172,2.66078,4.98857,3.085,0.0010892,0.0010892,0.0010892
48,4199,1.73509,2.33319,2.1018,0.77397,0.12766,0.1972,0.08368,2.46262,3.63555,2.92734,0.0010694,0.0010694,0.0010694
49,4286.09,1.76465,2.36203,2.11523,0.52418,0.34043,0.28242,0.13043,2.26707,2.88556,2.649,0.0010496,0.0010496,0.0010496
50,4376.99,1.70444,2.33486,2.07605,0.34961,0.1832,0.11208,0.05357,2.40366,3.88117,2.79715,0.0010298,0.0010298,0.0010298
51,4463.89,1.68275,2.30763,2.04918,0.26302,0.10638,0.10165,0.04926,2.47258,3.75085,3.01379,0.00101,0.00101,0.00101
52,4552.42,1.70862,2.27668,2.03815,0.51522,0.2038,0.2268,0.11468,2.25838,3.27498,2.787,0.0009902,0.0009902,0.0009902
53,4639.85,1.70206,2.34556,2.05566,0.59655,0.31915,0.41271,0.17745,2.11641,2.67674,2.62339,0.0009704,0.0009704,0.0009704
54,4728.48,1.77757,2.36076,2.14487,0.42488,0.08511,0.07467,0.04043,2.53764,6.22175,3.00202,0.0009506,0.0009506,0.0009506
55,4816.6,1.74355,2.29548,2.09293,0.07619,0.04255,0.00774,0.00288,2.67958,5.88784,3.19852,0.0009308,0.0009308,0.0009308
56,4906.35,1.80123,2.31409,2.16091,0.42255,0.10638,0.12751,0.06441,2.32352,3.82383,2.75633,0.000911,0.000911,0.000911
57,4996.61,1.77024,2.3501,2.14043,0.23086,0.10638,0.06997,0.03509,2.50244,4.82125,2.98962,0.0008912,0.0008912,0.0008912
58,5086.68,1.7002,2.29561,2.04538,0.22024,0.08511,0.06366,0.02434,2.42304,3.67105,2.9156,0.0008714,0.0008714,0.0008714
59,5174.22,1.64888,2.16033,1.97723,0.61072,0.23404,0.24313,0.10883,2.15894,3.38286,2.62895,0.0008516,0.0008516,0.0008516
60,5260.05,1.70401,2.21025,2.04899,0.21601,0.08511,0.07568,0.03254,2.5334,4.20737,3.01258,0.0008318,0.0008318,0.0008318
61,5347.83,1.76079,2.27843,2.12085,0.56371,0.23404,0.2257,0.08768,2.2064,3.52069,2.70191,0.000812,0.000812,0.000812
62,5436.34,1.70878,2.26684,2.05721,0.36387,0.12766,0.12528,0.05648,2.36094,3.77656,2.83253,0.0007922,0.0007922,0.0007922
63,5522.75,1.69524,2.23945,2.01675,0.57711,0.31915,0.34307,0.18489,2.11517,3.14392,2.50599,0.0007724,0.0007724,0.0007724
64,5610.74,1.69428,2.18436,2.00404,0.2294,0.08511,0.04985,0.02838,2.64062,4.75133,3.16113,0.0007526,0.0007526,0.0007526
65,5704.67,1.66509,2.15858,1.98433,0.42844,0.29787,0.3047,0.13396,1.92926,2.8748,2.41911,0.0007328,0.0007328,0.0007328
66,5805.05,1.63901,2.1453,1.98259,0.12893,0.10638,0.05839,0.03216,2.52758,4.17701,3.02054,0.000713,0.000713,0.000713
67,5899.33,1.70979,2.20718,2.05621,0.32181,0.25532,0.20718,0.09561,2.13252,3.1845,2.56503,0.0006932,0.0006932,0.0006932
68,5987.28,1.68677,2.23198,2.04327,0.37441,0.23404,0.2645,0.12967,2.12177,3.12347,2.54306,0.0006734,0.0006734,0.0006734
69,6073.8,1.67202,2.17146,2.03443,0.46305,0.33042,0.29738,0.14406,2.14759,2.8354,2.54472,0.0006536,0.0006536,0.0006536
70,6160.09,1.63985,2.10096,1.96284,0.40495,0.21733,0.18865,0.09243,2.13471,3.33478,2.64933,0.0006338,0.0006338,0.0006338
71,6246.21,1.67656,2.12393,1.99287,0.52803,0.19149,0.18102,0.0825,2.23717,3.39184,2.67572,0.000614,0.000614,0.000614
72,6347.88,1.70863,2.2049,2.05411,0.48673,0.19149,0.19807,0.0824,2.26275,3.42041,2.72189,0.0005942,0.0005942,0.0005942
73,6451.9,1.71578,2.18038,2.03297,0.80865,0.29787,0.35914,0.20173,1.99457,2.72712,2.41449,0.0005744,0.0005744,0.0005744
