epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6732,2.34401,3.34801,2.13356,0.00423,0.47059,0.00338,0.00114,2.54781,inf,2.87063,0.00065641,0.00065641,0.00065641
2,35.2232,2.37606,2.69203,2.16995,1,0.08648,0.10573,0.04457,2.79061,9.32505,3.3998,0.00127942,0.00127942,0.00127942
3,50.2593,2.37564,2.48701,2.14633,0.26067,0.17647,0.12344,0.05414,2.7363,5.19005,2.79651,0.00185842,0.00185842,0.00185842
4,64.2789,2.3113,2.47019,2.07486,0.16079,0.20588,0.09899,0.04689,2.25318,2.78049,2.3189,0.001802,0.001802,0.001802
5,78.5646,2.21385,2.37682,1.98568,0.24703,0.35294,0.17091,0.06628,2.36913,2.64154,2.2277,0.001736,0.001736,0.001736
6,92.2856,2.21368,2.31311,1.93487,0.20682,0.29412,0.1601,0.06531,2.33161,2.49987,2.16719,0.00167,0.00167,0.00167
7,105.316,2.1788,2.28978,1.97743,0.1905,0.38235,0.14662,0.06179,2.1885,2.60368,2.14263,0.001604,0.001604,0.001604
8,118.431,2.11621,2.22237,1.8817,0.22538,0.32353,0.17607,0.07346,2.2891,2.83562,2.17949,0.001538,0.001538,0.001538
9,133.151,2.1368,2.18908,1.8907,0.28109,0.29412,0.18072,0.0777,2.17332,2.71738,2.107,0.001472,0.001472,0.001472
10,147.279,2.12093,2.13919,1.86877,0.27871,0.37517,0.18879,0.07815,2.13408,2.47338,2.05552,0.001406,0.001406,0.001406
11,162.294,2.07323,2.1561,1.82583,0.20619,0.32353,0.18255,0.09176,2.18855,2.4216,2.05527,0.00134,0.00134,0.00134
12,176.62,2.08782,2.15034,1.85964,0.35654,0.2121,0.18156,0.09104,2.25925,2.44264,2.17239,0.001274,0.001274,0.001274
13,189.966,2.0513,2.13816,1.81074,0.59037,0.17647,0.23224,0.11553,2.1109,2.42069,2.02474,0.001208,0.001208,0.001208
14,203.163,1.98398,2.10023,1.74842,0.20364,0.29333,0.13264,0.07102,2.15557,2.6358,2.01329,0.001142,0.001142,0.001142
15,216.516,1.99931,2.04905,1.75252,0.39955,0.35294,0.26339,0.13933,2.01771,2.47171,1.90529,0.001076,0.001076,0.001076
16,230.937,2.00713,2.00694,1.75523,0.36676,0.23529,0.21889,0.11929,2.1551,2.31122,2.04647,0.00101,0.00101,0.00101
17,245.283,1.96319,2.00395,1.74491,0.42343,0.23529,0.23205,0.12243,2.07727,2.40503,1.93239,0.000944,0.000944,0.000944
18,259.289,2.00083,2.03202,1.75784,0.31897,0.26471,0.21754,0.10925,2.26028,2.37731,2.09049,0.000878,0.000878,0.000878
19,273.126,1.91357,1.91199,1.69222,0.27373,0.23529,0.18026,0.10307,2.27577,2.59863,2.16306,0.000812,0.000812,0.000812
20,287.355,1.95925,1.94906,1.73986,0.38327,0.23529,0.21506,0.11073,2.15938,2.44531,2.03852,0.000746,0.000746,0.000746
21,302.147,1.88391,1.88185,1.75635,0.47152,0.20588,0.2176,0.11331,2.18793,2.37593,2.04381,0.00068,0.00068,0.00068
22,315.764,1.86107,1.81909,1.77052,0.4659,0.29412,0.26857,0.13975,2.23526,2.29695,2.06251,0.000614,0.000614,0.000614
23,329.699,1.82069,1.81567,1.7215,0.35422,0.32353,0.2752,0.14497,2.21515,2.24721,2.01385,0.000548,0.000548,0.000548
24,343.48,1.8341,1.81287,1.74183,0.32487,0.29412,0.23986,0.12623,2.21306,2.39369,1.99926,0.000482,0.000482,0.000482
25,356.963,1.8291,1.76575,1.71896,0.48911,0.23529,0.2285,0.12249,2.20521,2.38904,2.01387,0.000416,0.000416,0.000416
26,371.009,1.78545,1.76043,1.66248,0.26451,0.32353,0.28217,0.16137,2.2041,2.40292,2.00782,0.00035,0.00035,0.00035
27,387.379,1.79696,1.73201,1.68783,0.48282,0.23529,0.28253,0.16602,2.16987,2.45138,2.00591,0.000284,0.000284,0.000284
28,401.149,1.80305,1.70416,1.66987,0.54693,0.26471,0.29505,0.1689,2.13577,2.43683,2.0217,0.000218,0.000218,0.000218
29,414.687,1.7614,1.70976,1.6452,0.47796,0.23529,0.30735,0.17137,2.15027,2.35181,1.99687,0.000152,0.000152,0.000152
30,428.109,1.73552,1.64942,1.62961,0.60986,0.23529,0.2982,0.16613,2.18657,2.31493,2.02915,8.6e-05,8.6e-05,8.6e-05
